"","date","name","id","value"
"1",2008-01-31,"bud","1",-0.25
"2",2008-02-29,"bud","1",-0.09
"3",2008-03-31,"bud","1",-0.03
"4",2008-04-30,"bud","1",0.58
"5",2008-05-31,"bud","1",-0.48
"6",2008-06-30,"bud","1",-0.01
"7",2008-07-31,"bud","1",0.67
"8",2008-08-31,"bud","1",-0.58
"9",2008-09-30,"bud","1",0.03
"10",2008-10-31,"bud","1",0.22
"11",2008-11-30,"bud","1",-0.5
"12",2008-12-31,"bud","1",0.07
"13",2009-01-31,"bud","1",0.23
"14",2009-02-28,"bud","1",-0.54
"15",2009-03-31,"bud","1",0.13
"16",2009-04-30,"bud","1",-0.05
"17",2009-05-31,"bud","1",-0.15
"18",2009-06-30,"bud","1",0.23
"19",2009-07-31,"bud","1",0.18
"20",2009-08-31,"bud","1",0.28
"21",2009-09-30,"bud","1",-0.1
"22",2009-10-31,"bud","1",-0.12
"23",2009-11-30,"bud","1",-0.02
"24",2009-12-31,"bud","1",0.3
"25",2010-01-31,"bud","1",-0.19
"26",2010-02-28,"bud","1",-0.26
"27",2010-03-31,"bud","1",0.12
"28",2010-04-30,"bud","1",0.03
"29",2010-05-31,"bud","1",-0.14
"30",2010-06-30,"bud","1",0.33
"31",2010-07-31,"bud","1",-0.19
"32",2010-08-31,"bud","1",-0.03
"33",2010-09-30,"bud","1",0.1
"34",2010-10-31,"bud","1",0.01
"35",2010-11-30,"bud","1",0
"36",2010-12-31,"bud","1",0.21
"37",2011-01-31,"bud","1",-0.08
"38",2011-02-28,"bud","1",-0.14
"39",2011-03-31,"bud","1",0.24
"40",2011-04-30,"bud","1",0.07
"41",2011-05-31,"bud","1",-0.1
"42",2011-06-30,"bud","1",0.25
"43",2011-07-31,"bud","1",-0.18
"44",2011-08-31,"bud","1",0.06
"45",2011-09-30,"bud","1",0.01
"46",2011-10-31,"bud","1",0.03
"47",2011-11-30,"bud","1",-0.11
"48",2011-12-31,"bud","1",0.26
"49",2012-01-31,"bud","1",-0.13
"50",2012-02-29,"bud","1",-0.27
"51",2012-03-31,"bud","1",0.31
"52",2012-04-30,"bud","1",-0.01
"53",2012-05-31,"bud","1",-0.06
"54",2012-06-30,"bud","1",0.09
"55",2012-07-31,"bud","1",-0.07
"56",2012-08-31,"bud","1",0.06
"57",2012-09-30,"bud","1",-0.07
"58",2012-10-31,"bud","1",0.03
"59",2012-11-30,"bud","1",-0.12
"60",2012-12-31,"bud","1",0.42
"61",2013-01-31,"bud","1",-0.28
"62",2013-02-28,"bud","1",-0.21
"63",2013-03-31,"bud","1",0.24
"64",2013-04-30,"bud","1",0
"65",2013-05-31,"bud","1",-0.23
"66",2013-06-30,"bud","1",0.25
"67",2013-07-31,"bud","1",-0.06
"68",2013-08-31,"bud","1",0.01
"69",2013-09-30,"bud","1",0.09
"70",2013-10-31,"bud","1",-0.04
"71",2013-11-30,"bud","1",-0.11
"72",2013-12-31,"bud","1",0.21
"73",2014-01-31,"bud","1",0.05
"74",2014-02-28,"bud","1",-0.24
"75",2014-03-31,"bud","1",0.1
"76",2014-04-30,"bud","1",0.07
"77",2014-05-31,"bud","1",-0.09
"78",2014-06-30,"bud","1",0.09
"79",2014-07-31,"bud","1",-0.09
"80",2014-08-31,"bud","1",0.04
"81",2014-09-30,"bud","1",0.06
"82",2014-10-31,"bud","1",-0.05
"83",2014-11-30,"bud","1",-0.12
"84",2014-12-31,"bud","1",0.38
"85",2015-01-31,"bud","1",-0.15
"86",2015-02-28,"bud","1",-0.33
"87",2015-03-31,"bud","1",0.19
"88",2015-04-30,"bud","1",-0.04
"89",2015-05-31,"bud","1",-0.32
"90",2015-06-30,"bud","1",0.44
"91",2015-07-31,"bud","1",-0.07
"92",2015-08-31,"bud","1",-0.01
"93",2015-09-30,"bud","1",0.02
"94",2015-10-31,"bud","1",0.01
"95",2015-11-30,"bud","1",-0.35
"96",2015-12-31,"bud","1",0.57
"97",2016-01-31,"bud","1",-0.3
"98",2016-02-29,"bud","1",-0.38
"99",2016-03-31,"bud","1",0.36
"100",2016-04-30,"bud","1",-0.07
"101",2016-05-31,"bud","1",-0.31
"102",2016-06-30,"bud","1",0.51
