"","date","bud","ngz","vnt","imp","oth"
"1",2007-12-31,889.4122604,312.3686883,170.0249487,152.1343987,254.8842247
"2",2008-01-31,691.2971786,303.3589821,216.7772468,89.4030846,81.75786511
"3",2008-02-29,631.2013001,371.1953827,11.62737516,122.4826199,125.8959224
"4",2008-03-31,610.1679081,328.8847106,63.03505676,136.6868233,81.56131753
"5",2008-04-30,1091.843123,345.3733132,487.2421902,154.2239274,105.0036921
"6",2008-05-31,675.6416584,368.0100484,51.8040286,150.8202292,105.0073522
"7",2008-06-30,670.5725645,391.402653,30.23995864,149.8104108,99.1195421
"8",2008-07-31,1306.086735,454.6011929,540.9854406,175.2327112,135.2673904
"9",2008-08-31,727.6913841,432.3465216,43.35820501,160.3024294,91.68422812
"10",2008-09-30,751.2151001,435.7719712,50.78041042,171.1290532,93.53366535
"11",2008-10-31,937.0629922,411.7767366,254.5285659,180.1363786,90.62131103
"12",2008-11-30,570.5747447,303.0892317,58.83492412,137.6450848,71.00550408
"13",2008-12-31,610.7545153,243.6229545,75.5388851,166.7723156,124.8203601
"14",2009-01-31,771.9809405,179.1140011,183.1912093,68.47199366,341.2037364
"15",2009-02-28,448.2845846,164.6817038,107.1958068,109.0480996,67.35897449
"16",2009-03-31,512.4246969,165.298504,149.5717646,124.1143268,73.44010158
"17",2009-04-30,488.7544781,168.6981336,105.655216,112.0443568,102.3567717
"18",2009-05-31,419.9786054,175.7559869,76.71192833,100.1205645,67.39012569
"19",2009-06-30,530.735742,199.883247,85.9188646,105.6550582,139.2785723
"20",2009-07-31,633.6202978,272.3677505,136.7583832,113.0341109,111.4600532
"21",2009-08-31,840.0049588,309.2374268,114.4997386,107.1510138,309.1167795
"22",2009-09-30,762.4,360.5747563,132.6373407,122.4267572,146.9996686
"23",2009-10-31,673.2075288,295.4523012,137.4693377,124.3170363,115.9688536
"24",2009-11-30,658.2790965,305.4952773,98.8763076,123.0210439,130.8864678
"25",2009-12-31,890.8628414,387.3971714,125.2527971,150.9882725,227.2246003
"26",2010-01-31,737.5628649,294.5497556,197.5320618,72.60841588,172.8726316
"27",2010-02-28,570.7718184,300.7653773,115.8009493,105.5725772,48.63291461
"28",2010-03-31,646.5507918,282.2795415,166.5770302,130.899851,66.79436912
"29",2010-04-30,663.3878226,271.8525415,132.1437556,129.0841769,130.3073486
"30",2010-05-31,577.3970213,319.8741496,84.43262849,137.3700317,35.7202115
"31",2010-06-30,802.194749,321.6169248,122.0568434,148.5102174,210.0107634
"32",2010-07-31,660.5718884,314.9940026,143.5747575,150.7092411,51.29388725
"33",2010-08-31,642.0274896,315.4740109,107.8526317,169.4015499,49.29929704
"34",2010-09-30,708.163928,309.4669575,176.5893319,121.3539772,100.7536614
"35",2010-10-31,712.9107301,320.5167613,174.8804491,115.6390375,101.8744821
"36",2010-11-30,710.1301655,349.6485047,96.37331682,125.8882794,138.2200646
"37",2010-12-31,872.1657567,429.6342622,179.8602006,137.5214005,125.1498934
"38",2011-01-31,804.9,355.6,212.1,100.8,136.4
"39",2011-02-28,700.8,336.7,117,150.1,97
"40",2011-03-31,887.2,441.8,216,192.3,37.1
"41",2011-04-30,946.9,446.5,230.1,182.1,88.2
"42",2011-05-31,860.3,486.4,150.8,183.5,39.6
"43",2011-06-30,1106.4,473.4,229.9,177.5,225.5
"44",2011-07-31,927.4,479.4,205.7,178.5,63.9
"45",2011-08-31,986.4,489.2,176.6,204.1,116.6
"46",2011-09-30,992.8,480.9,234.3,199.5,78
"47",2011-10-31,1027.8,545.4,192.5,210.2,79.6
"48",2011-11-30,924,523.5,105.8,227.7,67.1
"49",2011-12-31,1202.9,583,256.9,230.4,132.6
"50",2012-01-31,1059.6,530.2,214.5,137.4,177.4
"51",2012-02-29,806.4,485.6,100.2,176.9,43.8
"52",2012-03-31,1100.3,529.1,287,200,84.3
"53",2012-04-30,1092.4,559.9,257.2,188.8,86.5
"54",2012-05-31,1024.6,583.3,175,211,55.3
"55",2012-06-30,1117.1,538,274.3,214,90.7
"56",2012-07-31,1045.5,508.4,231.7,230.5,75
"57",2012-08-31,1106.2,490.5,171.9,237.7,206
"58",2012-09-30,1033.3,514.7,259,194.5,65.1
"59",2012-10-31,1067.8,536.5,231.9,224.1,75.4
"60",2012-11-30,951.6,566.3,101.1,212.5,71.7
"61",2012-12-31,1450.7,610.7,300,218.4,321.5
"62",2013-01-31,1093.1,465.9,244.5,142.3,240.4
"63",2013-02-28,888.2,510.8,112.6101648,182.8342659,81.90728722
"64",2013-03-31,1124.3,527,312.5104187,197.0511636,87.79016055
"65",2013-04-30,1118.8,583.9,215.4070648,215.1238418,104.3220017
"66",2013-05-31,891.1,523.7,152.1220967,191.7861288,23.52237307
"67",2013-06-30,1142.2,487.8,312.7117973,192.8288862,148.7814841
"68",2013-07-31,1072.3,536.6,218.6323766,222.5227592,94.58004919
"69",2013-08-31,1088.2,544.9,134.3616105,210.0954223,198.8585407
"70",2013-09-30,1186.3,593.6,297.2148124,205.0317013,90.4618723
"71",2013-10-31,1136.1,585.4,232.0777284,221.45321,97.15449127
"72",2013-11-30,1018.1,581.1,159.5081448,206.6434694,70.83847406
"73",2013-12-31,1261.2,593.3,289.7820653,230.3354035,147.8073411
"74",2014-01-31,1326.7,615,290.9,147.9,272.8
"75",2014-02-28,1041.9,618.8,160.6,187.4,75.2
"76",2014-03-31,1152.8,592.9,321.2,203.8,35
"77",2014-04-30,1232.9,690,294.4,218.3,30.1
"78",2014-05-31,1128.3,632,194.2,195.4,106.7
"79",2014-06-30,1238.3,554.7,325.1,187.2,171.2
