rown,date,res,m2,exp,impt,usd,urru,sal,imo,bci,rate,cpi,ibk,epu,cons,news
1,2007-12-31,11466.1511100593,12869,927.830041128332,612.379127465568,24.5659149336316,2186.36642909321,11876,1888.86,12690.62,10,101.13,14.2977909027751,125.64629,103.07,0.79959946
2,2008-01-31,11639.7861098387,12509.7,829.852257,381.1881138,24.5011,2185.49812,12993,1574.33,10496.01,10,102.31,-12.4063413167014,124.26589,103.452107423436,0.738568120999999
3,2008-02-29,11801.4555784632,12662.9,861.0452965,514.6644019,24.5347,2236.092558,13494,1660.42,11192.66,10.25,101.2,10.7865553932448,143.63007,103.745149821044,0.164046271
4,2008-03-31,11853.9645045704,12973.8,936.3379049,552.1511466,23.7607,2352.3093,15742,1628.43,10861.12,10.25,101.2,14.5611868937499,145.35331,103.778687193798,0.407508092
5,2008-04-30,12220.9045415604,12944.4,952.8521675,592.7786797,23.5127,2486.468025,11430,1667.35,11286.48,10.5,101.42,12.1963125087157,145.44221,103.695993636813,0.542143446
6,2008-05-31,12650.3631747036,13312.8,1007.9774532,576.2922084,23.7294,2826.17154,11757,1925.24,13090.91,10.5,101.35,10.6046684720596,111.405,103.686282953008,0.738354992
7,2008-06-30,13123.1611862138,13841.2,1016.9841024,598.2912936,23.6376,3018.52152,12448,1753.67,12149.79,10.75,100.97,11.5518842372284,103.0275,103.835688141462,0.709404612
8,2008-07-31,13605.8460607459,13842.6,1086.872373,669.832443,23.3505,2832.182145,12494,1495.33,10368.79,11,100.51,14.9739908480388,25.98754,103.905258012578,0.839951426
9,2008-08-31,13733.7271780381,14196.6,1084.7546928,654.684882,24.1314,2707.54308,12787,1348.92,9086.68,11,100.36,8.76752123332238,85.45173,103.47119458543,0.493859521
10,2008-09-30,13724.9855492142,14045.7,1086.5417238,688.475151,25.2837,2467.941957,13712,1027.66,6879.83,11,100.8,6.26698487444111,120.65713,102.144925802431,0.056087347
11,2008-10-31,12437.9085463284,13173.1,1011.4381096,703.8669032,26.3512,1858.023112,13546,731.96,4616.05,11,100.91,-7.23519265917361,199.23496,100.296811542278,-0.434632883
12,2008-11-30,12081.7569596679,12839.2,801.6333653,575.5876676,27.3101,1414.390079,13270,611.32,4058.3,12,100.83,-27.2342867592391,111.72711,98.3549143024059,-1.760453747
13,2008-12-31,11583.0926966427,12975.9,835.2775288,654.2801012,28.1314,1126.099942,13677,619.53,4174.77,13,100.69,-14.5309006872587,143.16581,96.6256153585927,-2.149587034
14,2009-01-31,11689.3966214403,11430.9,593.804262,323.52702,31.4715,1356.106935,13986,624.9,4173.08,13,102.37,-40.8267573974024,121.89001,95.208013904291,-2.426604339
15,2009-02-28,13165.187856277,11465.1,622.8982143,472.385637,35.7597,1510.132131,14656,666.05,4374.56,13,101.65,-23.1653222881806,57.71405,94.2750130654792,-2.762068879
16,2009-03-31,12759.5239956983,11581.6,744.1857555,493.304295,34.6665,1582.525725,18591,772.93,5274.72,13,101.31,-13.7581148053229,94.72407,94.0427084260032,-2.80355471
17,2009-04-30,12360.0629470241,11838.7,632.0495144,474.6746884,33.5554,1647.57014,17290,920.35,6264.7,12.5,100.69,-17.3327606435665,92.35389,94.2551759374277,-2.345597188
18,2009-05-31,12415.2781777806,12331.6,678.3067584,420.435424,32.0576,1824.07744,15424,1123.38,7497.44,12,100.57,-14.8456228033581,45.95504,94.7064191443043,-2.315822511
19,2009-06-30,12282.9719353149,12650.5,731.3806126,455.1233278,31.0262,2121.571556,16962,971.55,6718.52,11.5,100.6,-8.25048145340728,122.24413,95.3175442585395,-2.143552605
20,2009-07-31,12129.4259050482,12618.1,824.6267232,479.4407376,31.5152,2043.76072,17556,1053.3,7213.29,11,100.63,-7.36922278787151,95.61376,95.9751595383095,-1.483087004
21,2009-08-31,12394.0439399525,12797.3,847.7751375,468.656295,31.6275,2285.719425,18966,1091.98,7544.74,10.75,100,-9.38338293686726,94.16583,96.5960828740068,-1.536724113
22,2009-09-30,12155.6003316387,13101.9,881.6065882,517.9704454,30.8114,2067.136826,14771,1197.2,8350.36,10,99.97,-5.7688312159803,32.38641,97.1455592086518,-1.526535775
23,2009-10-31,12203.2759097273,13376.9,889.0189176,542.6015932,29.4748,2141.933716,15354,1237.18,8648.04,9.5,100,-7.89405357365555,67.6296,97.6921699023768,-1.009848121
24,2009-11-30,12308.8376010829,13713.3,881.08624,534.5063302,28.9831,2211.990192,16172,1284.95,8876.82,9,100.29,-13.9945213890362,109.06281,98.3410940407681,-0.849567445999999
25,2009-12-31,12472.5512495101,15267.6,1008.4338198,616.070532,29.9354,2211.627352,16538,1370.01,9568.83,8.75,100.41,1.42725654905777,130.10646,99.1702353841272,-0.341146737
26,2010-01-31,12381.9862626885,14904.1,807.7911949,333.6327054,29.9437,2278.416133,16643,1419.42,9827.37,8.75,101.64,-28.5195341311753,93.9206,100.064035872067,-0.230364164
27,2010-02-28,12477.8519532824,15236.4,908.4897096,460.0410276,30.1884,2198.923056,17715,1332.64,9154.18,8.5,100.86,-5.81539868721106,146.21153,100.849809566125,-0.556297713
28,2010-03-31,12515.1406975691,15639.4,975.3886848,545.0492784,29.5644,2277.641376,17758,1450.15,9955.03,8.25,100.63,7.72308422369593,67.20616,101.369417447799,-0.535257557
29,2010-04-30,12717.4888837029,16098.6,954.570214,551.958992,29.198,2409.12698,17244,1436.04,9811.96,8.25,100.29,-0.592488015474373,71.59265,101.658969010462,0.138592708
30,2010-05-31,13020.326820825,16470.6,944.104496421544,578.281455999476,30.3512022253438,2249.02408489798,17739,1332.62,9150.58,7.75,100.5,1.41503798117782,162.10676,101.718856963477,0.107589975
31,2010-06-30,13495.1851121119,16900.9,983.455518400838,602.371959312068,31.1673803131406,2317.91807388827,17643,1309.31,8979.23,7.75,100.39,6.59406730680249,123.89997,101.513848255332,-0.099636685
32,2010-07-31,13747.8893418707,17063.3,942.8180922,638.5792917,30.6847,2264.53086,17598,1397.12,9648.34,7.75,100.36,3.66501374372072,123.31896,101.202838706413,-0.109344863
33,2010-08-31,13564.9978403812,17437.7,948.494221557886,716.225403066983,30.3421056160552,2289.31186873136,21681,1368.9,9364.41,7.75,100.55,4.29074176428125,161.87393,100.95767160276,-0.044872924
34,2010-09-30,14132.5745418531,17690.2,1038.24718779767,715.672081425486,30.8359723135631,2386.39589734665,18638,1440.3,9776.44,7.75,100.84,4.84972430608701,104.35623,100.887957130595,-0.612714467
35,2010-10-31,14061.0962088679,17848.3,1048.7304204505,741.409262230074,30.3197669909653,2471.9706027734,17441,1523.39,10463.83,7.75,100.5,0.376614038663888,83.02374,100.900049365591,-0.22545848
36,2010-11-30,13897.3233439805,18264.9,1068.5542032,760.0589568,30.9672,2624.160528,18419,1565.52,10671.83,7.75,100.81,-4.04588070444805,79.66758,100.863308273629,-0.07278793
37,2010-12-31,13685.5807801596,20011.9,1311.43262062184,831.650733325862,30.8521566006033,2768.67253333814,18673,1687.99,11393.51,7.75,101.08,7.7429660681467,122.25597,100.694555004402,0.189625274
38,2011-01-31,13560.7273744052,19307.7,890.194437,488.2080204,30.0843,2860.114401,20669,1723.42,11828.74,7.75,102.37,-21.7227721500035,56.33476,100.491360511972,0.266909674
39,2011-02-28,13417.9702855792,19536.7,1160.7240866,634.805314,29.2942,3236.130274,20680,1777.84,12123.66,8,100.78,-0.527015915599236,75.13648,100.411156238207,0.218139202
40,2011-03-31,13233.0538156798,19788.7,1207.2001988,761.7748552,28.4308,3216.376404,22673,1813.59,12411.57,8,100.62,12.3741127957816,84.23373,100.584786019421,0.207073222
41,2011-04-30,13580.3182597501,20020.8,1287.24594631592,756.530655827748,28.1039658169972,3456.50675583249,22519,1741.84,11893.21,8,100.43,1.70650275785476,111.9054,100.90706777434,0.0832455409999999
42,2011-05-31,13381.1926469685,20160.9,1227.34776419455,778.39694484329,27.8695647992585,3182.70430007532,22779,1666.3,11281.21,8.25,100.48,4.91942489638362,91.91007,101.249353837288,-0.095724737
43,2011-06-30,13544.4089932561,20721.9,1221.67204311322,768.945950170996,27.9840581618384,3077.12703547575,24137,1666.59,11544.74,8.25,100.23,7.15699716549057,92.58963,101.523439317646,0.357387977
44,2011-07-31,13677.8728452182,20828.1,1156.03148703093,749.251250976603,27.8998790160716,3181.42320420264,23598,1705.18,11544.06,8.25,99.99,3.67759333742501,162.23802,101.725466151301,0.318370896
45,2011-08-31,14278.9969439758,21061.9,1261.2159666,846.5641044,28.7673,3339.308184,23051,1546.05,10506.37,8.25,99.76,7.55247642940577,191.06544,101.854932677481,0.460011032
46,2011-09-30,14406.4022198451,21480.4,1312.2196485,818.3955105,30.4905,3174.67086,23468,1366.54,9303.84,8.25,99.96,3.12259128493218,241.77581,101.905761862294,-0.414111629
47,2011-10-31,14953.155509063101,21366.7,1418.54722509737,899.841811716684,31.3511884787361,3405.6796044451,23602,1498.6,10191.43,8.25,100.48,-0.0267627950083522,158.83226,101.929929829742,-0.47942821
48,2011-11-30,14278.2683354879,21920,1432.7232919,918.2303735,30.8597,3441.473744,24296,1499.62,10246.37,8.25,100.42,-2.56773898005855,271.63609,101.986636676909,-0.500621256
49,2011-12-31,14277.8689157542,24204.8,1580.43226367725,942.163836539802,31.4526401782608,3328.94743646712,32809,1402.23,9592.15,8,100.44,8.24502067588941,151.12303,102.118138506514,-0.369428388
50,2012-01-31,14385.5037495163,23349.1,1244.53109125674,603.123518691172,31.5095093616411,3483.69135502304,23746,1514.03,10362.82,8,100.5,-25.3330760726198,205.85338,102.293040579743,-0.288173433
51,2012-02-29,13859.5121644624,23542.5,1341.01268450644,737.964865222075,29.8819592331582,3621.09581987411,24036,1597.67,10955.11,8,100.37,3.14859243779674,194.12832,102.467890543839,0.116974949
52,2012-03-31,13688.4686091341,23747.8,1371.5492364,834.987699,29.3958,3551.306598,25487,1517.34,10362.35,8,100.58,10.8619311388582,219.37659,102.605371416067,0.381033711
53,2012-04-30,12591.0333572684,23923.8,1186.63160204629,707.465305622815,26.426555064167,3102.74183008385,25800,1473.5,10086.75,8,100.31,2.95957916468635,128.83169,102.692546676812,0.365244926
54,2012-05-31,14255.2815602748,24036.3,1393.6655986,862.9307192,30.6482,3096.081164,26385,1306.42,9066.19,8,100.52,6.02438501526586,103.85139,102.699926925952,0.260782513
55,2012-06-30,15403.0345298249,24461,1343.187692,887.9652228,32.9132,3074.751144,27494,1387.52,9559.83,8,100.89,4.97858495492466,98.41059,102.590842150708,-0.049771636
56,2012-07-31,15010.5062303374,24306.3,1337.5375,965.25,32.5,3443.05,26684,1407.02,9609.77,8,101.23,5.57238134904637,104.93922,102.410609005097,-0.059039191
57,2012-08-31,14890.7512410322,24284.2,1317.164927,959.676647,32.033,3641.51144,25718,1422.91,9718.29,8,100.1,5.47145839398334,78.06388,102.202520527991,0.054757031
58,2012-09-30,15018.9237383682,24437.8,1353.46634531762,862.712626910582,31.5272850062338,3463.58753078485,25996,1458.26,9986.09,8.25,100.55,0.504901787364076,250.45494,101.994984231524,-0.214505045
59,2012-10-31,14776.7227425985,24444.8,1447.02332287478,999.826579150927,31.0920353002745,3403.02326361504,26803,1425.7,9769.9,8.25,100.46,2.41599462923293,169.32165,101.816515521008,0.342827674
60,2012-11-30,14958.7376687015,24741,1421.87148348457,960.740104827746,31.4100796033526,3464.21767945376,27448,1405.97,9624.04,8.25,100.34,-4.43592725501455,36.58502,101.710178934204,0.131873638
61,2012-12-31,14957.5430653956,27164.6,1481.7772190325,979.23393382736,30.7403526550733,3369.14265099603,36450,1474.72,10102.06,8.25,100.54,5.63168486056898,156.4325,101.718961794646,0.412037499
62,2013-01-31,14529.597528236,26348.7,1171.40089989263,656.957595145653,30.257811124984,3504.7622626069,26840,1546.76,10602.53,8.25,100.97,-21.6414641338768,197.72759,101.799015741246,0.367856512
63,2013-02-28,14345.9738618588,26768.4,1259.60704114572,798.779610605162,30.1608371320481,3296.88110690418,26620,1486.04,10118.12,8.25,100.56,0.326451426740704,151.24526,101.90742139645,0.380732402
64,2013-03-31,14698.995171401,27198.6,1366.09256621384,873.749799429314,30.7983714990946,3312.67283844262,28693,1438.57,9766.5,8.25,100.34,6.54253662375694,230.15642,102.018681948241,0.545891337
65,2013-04-30,15236.7656435301,27377.1,1388.90887448304,935.139534758402,31.3290071613254,3176.44803608678,30026,1385.88,9392.15,8.25,100.51,4.45116500550338,167.34183,102.112865023523,0.51969462
66,2013-05-31,14789.0583007417,27593.4,1277.08508896438,824.221138045142,31.2406147157314,3123.43665927883,29723,1350.17,9148.54,8.25,100.66,-0.279921647067738,150.0586,102.160889664935,0.257931882
67,2013-06-30,15339.1351201575,28212.3,1346.20869923356,911.620886001231,32.2777639061442,3302.01524759855,30986,1330.46,8993,8.25,100.42,4.26656732834203,192.28786,102.126890784163,-0.005726671
68,2013-07-31,15392.7381274063,28443.9,1426.81655557844,990.702063128835,32.7364128846722,3553.21025450232,30229,1375.79,9294.64,8.25,100.82,5.78701425071952,82.51089,102.016742049125,-0.167643343
69,2013-08-31,15325.7873109298,28499.9,1399.82112376781,936.020393875827,33.0154278112175,3822.19607770465,29226,1364.65,9208.07,8.25,100.14,1.89190202115503,207.55934,101.815507236148,-0.325892886
70,2013-09-30,15643.6829890781,28352.6,1457.6750885797,936.174899642501,32.6284295149345,3491.24195809799,29346,1462.82,9923.83,8.25,100.21,-0.25588013820547,214.21663,101.501041436407,-0.276967775
71,2013-10-31,15397.4406632935,28276.4,1391.18093782258,982.643774657446,32.0622479332239,3413.98815992968,30069,1510.21,10278.04,5.5,100.57,0.727696422849107,153.68826,101.148678340305,-0.077391898
72,2013-11-30,15504.6037248271,28873.3,1523.5001712,972.5865264,32.6448,3614.432256,30290,1479.35,10064.13,5.5,100.56,-7.71995936234964,77.41041,100.859505922822,0.059557212
73,2013-12-31,15447.1112430391,31155.6,1623.845204,1068.430014,32.894,3577.2225,39648,1504.08,10176.9,5.5,100.51,4.38661453719018,206.56078,100.726539425234,0.344164147999999
74,2014-01-31,15296.7796084005,29861.2,1322.521753,701.827489,33.457,3590.27067,29535,1454.45,9828.99,5.5,100.59,-24.3475723816577,255.24071,100.7377036582,0.201234529
75,2014-02-28,15806.1845501098,30169,1279.9940343,848.5037093,35.2237,3808.738681,29255,1444.71,9741,5.5,100.7,-2.59355700863657,162.45726,100.908799499355,-0.034415209
76,2014-03-31,16033.2694095523,29519.3,1699.889184,991.167492,36.211,3807.58665,31486,1369.29,9267.08,5.5,101.02,4.86389891318873,123.9876,101.272339660341,-0.190383869
77,2014-04-30,15262.209498547,29879,1694.7200596,989.7219354,35.6618,3840.062624,32947,1306.01,8790.54,7,100.9,1.66678376818584,254.08472,101.706452845651,-0.359713861
78,2014-05-31,14800.8723137761,29890.8,1534.8626205,913.6527771,34.9269,3730.542189,32272,1432.03,9626.25,7.5,100.9,-1.5324073707736,370.50622,102.054081234635,-0.435737348
79,2014-06-30,14862.0955752428,30073.1,1396.9039,920.2018425,34.4065,3759.94232,33726,1476.38,9938.21,7.5,100.62,0.751710943510517,143.52719,102.171604939168,0.044413829
80,2014-07-31,14638.5911410587,30178.3,1599.626712,1009.7199856,34.6352,3638.081408,32515,1379.61,9256.28,7.5,100.49,3.57361937543016,153.22808,102.063951257663,0.078807754
81,2014-08-31,15138.6671145351,30338.7,1495.42230714431,912.787894622316,36.1099728863959,3624.35797860756,30763,1400.71,9364.82,8,100.24,-3.44603327200099,246.01304,101.670523441933,-0.329736366
82,2014-09-30,15497.0716423268,30297.6,1441.08654195949,986.008574473095,37.8695154769403,3511.2614750219,31929,1411.07,9479.29,8,100.65,0.0164783719113757,284.68491,100.876306850101,-0.761372088
