"","date","bud","ngz","vnt","imp","oth"
"1",2008-01-31,-0.25,-0.03,0.24,-0.53,-1.14
"2",2008-02-29,-0.09,0.2,-2.93,0.31,0.43
"3",2008-03-31,-0.03,-0.12,1.69,0.11,-0.43
"4",2008-04-30,0.58,0.05,2.04,0.12,0.25
"5",2008-05-31,-0.48,0.06,-2.24,-0.02,0
"6",2008-06-30,-0.01,0.06,-0.54,-0.01,-0.06
"7",2008-07-31,0.67,0.15,2.88,0.16,0.31
"8",2008-08-31,-0.58,-0.05,-2.52,-0.09,-0.39
"9",2008-09-30,0.03,0.01,0.16,0.07,0.02
"10",2008-10-31,0.22,-0.06,1.61,0.05,-0.03
"11",2008-11-30,-0.5,-0.31,-1.46,-0.27,-0.24
"12",2008-12-31,0.07,-0.22,0.25,0.19,0.56
"13",2009-01-31,0.23,-0.31,0.89,-0.89,1.01
"14",2009-02-28,-0.54,-0.08,-0.54,0.47,-1.62
"15",2009-03-31,0.13,0,0.33,0.13,0.09
"16",2009-04-30,-0.05,0.02,-0.35,-0.1,0.33
"17",2009-05-31,-0.15,0.04,-0.32,-0.11,-0.42
"18",2009-06-30,0.23,0.13,0.11,0.05,0.73
"19",2009-07-31,0.18,0.31,0.46,0.07,-0.22
"20",2009-08-31,0.28,0.13,-0.18,-0.05,1.02
"21",2009-09-30,-0.1,0.15,0.15,0.13,-0.74
"22",2009-10-31,-0.12,-0.2,0.04,0.02,-0.24
"23",2009-11-30,-0.02,0.03,-0.33,-0.01,0.12
"24",2009-12-31,0.3,0.24,0.24,0.2,0.55
"25",2010-01-31,-0.19,-0.27,0.46,-0.73,-0.27
"26",2010-02-28,-0.26,0.02,-0.53,0.37,-1.27
"27",2010-03-31,0.12,-0.06,0.36,0.22,0.32
"28",2010-04-30,0.03,-0.04,-0.23,-0.01,0.67
"29",2010-05-31,-0.14,0.16,-0.45,0.06,-1.29
"30",2010-06-30,0.33,0.01,0.37,0.08,1.77
"31",2010-07-31,-0.19,-0.02,0.16,0.01,-1.41
"32",2010-08-31,-0.03,0,-0.29,0.12,-0.04
"33",2010-09-30,0.1,-0.02,0.49,-0.33,0.71
"34",2010-10-31,0.01,0.04,-0.01,-0.05,0.01
"35",2010-11-30,0,0.09,-0.6,0.08,0.31
"36",2010-12-31,0.21,0.21,0.62,0.09,-0.1
"37",2011-01-31,-0.08,-0.19,0.16,-0.31,0.09
"38",2011-02-28,-0.14,-0.05,-0.59,0.4,-0.34
"39",2011-03-31,0.24,0.27,0.61,0.25,-0.96
"40",2011-04-30,0.07,0.01,0.06,-0.05,0.87
"41",2011-05-31,-0.1,0.09,-0.42,0.01,-0.8
"42",2011-06-30,0.25,-0.03,0.42,-0.03,1.74
"43",2011-07-31,-0.18,0.01,-0.11,0.01,-1.26
"44",2011-08-31,0.06,0.02,-0.15,0.13,0.6
"45",2011-09-30,0.01,-0.02,0.28,-0.02,-0.4
"46",2011-10-31,0.03,0.13,-0.2,0.05,0.02
"47",2011-11-30,-0.11,-0.04,-0.6,0.08,-0.17
"48",2011-12-31,0.26,0.11,0.89,0.01,0.68
"49",2012-01-31,-0.13,-0.09,-0.18,-0.52,0.29
"50",2012-02-29,-0.27,-0.09,-0.76,0.25,-1.4
"51",2012-03-31,0.31,0.09,1.05,0.12,0.65
"52",2012-04-30,-0.01,0.06,-0.11,-0.06,0.03
"53",2012-05-31,-0.06,0.04,-0.39,0.11,-0.45
"54",2012-06-30,0.09,-0.08,0.45,0.01,0.49
"55",2012-07-31,-0.07,-0.06,-0.17,0.07,-0.19
"56",2012-08-31,0.06,-0.04,-0.3,0.03,1.01
"57",2012-09-30,-0.07,0.05,0.41,-0.2,-1.15
"58",2012-10-31,0.03,0.04,-0.11,0.14,0.15
"59",2012-11-30,-0.12,0.05,-0.83,-0.05,-0.05
"60",2012-12-31,0.42,0.08,1.09,0.03,1.5
"61",2013-01-31,-0.28,-0.27,-0.2,-0.43,-0.29
"62",2013-02-28,-0.21,0.09,-0.78,0.25,-1.08
"63",2013-03-31,0.24,0.03,1.02,0.07,0.07
"64",2013-04-30,0,0.1,-0.37,0.09,0.17
"65",2013-05-31,-0.23,-0.11,-0.35,-0.11,-1.49
"66",2013-06-30,0.25,-0.07,0.72,0.01,1.84
"67",2013-07-31,-0.06,0.1,-0.36,0.14,-0.45
"68",2013-08-31,0.01,0.02,-0.49,-0.06,0.74
"69",2013-09-30,0.09,0.09,0.79,-0.02,-0.79
"70",2013-10-31,-0.04,-0.01,-0.25,0.08,0.07
"71",2013-11-30,-0.11,-0.01,-0.37,-0.07,-0.32
"72",2013-12-31,0.21,0.02,0.6,0.11,0.74
"73",2014-01-31,0.05,0.04,0,-0.44,0.61
"74",2014-02-28,-0.24,0.01,-0.59,0.24,-1.29
"75",2014-03-31,0.1,-0.04,0.69,0.08,-0.76
"76",2014-04-30,0.07,0.15,-0.09,0.07,-0.15
"77",2014-05-31,-0.09,-0.09,-0.42,-0.11,1.27
"78",2014-06-30,0.09,-0.13,0.52,-0.04,0.47
"79",2014-07-31,-0.09,0.1,-0.31,0.13,-0.86
"80",2014-08-31,0.04,-0.06,-0.31,-0.11,1.22
"81",2014-09-30,0.06,0.06,0.72,0.09,-1.08
"82",2014-10-31,-0.05,0.02,-0.45,0.09,0.35
"83",2014-11-30,-0.12,-0.02,-0.33,-0.1,-0.36
"84",2014-12-31,0.38,0.17,0.77,0.34,0.81
"85",2015-01-31,-0.15,-0.32,-0.13,-0.69,0.63
"86",2015-02-28,-0.33,0.01,-0.56,0.3,-1.86
"87",2015-03-31,0.19,-0.05,0.86,0.08,-0.73
"88",2015-04-30,-0.04,-0.05,-0.07,-0.16,0.91
"89",2015-05-31,-0.32,-0.04,-0.91,-0.18,-0.29
"90",2015-06-30,0.44,0.11,0.79,0.22,1.5
"91",2015-07-31,-0.07,0.05,-0.09,0.09,-0.6
"92",2015-08-31,-0.01,0,-0.64,0.03,0.76
"93",2015-09-30,0.02,-0.1,0.8,0.09,-0.96
"94",2015-10-31,0.01,-0.04,-0.14,-0.07,0.66
"95",2015-11-30,-0.35,-0.04,-1.48,-0.04,-0.48
"96",2015-12-31,0.57,0.03,1.62,0.23,1.22
"97",2016-01-31,-0.3,-0.2,0.17,-0.58,-1.11
"98",2016-02-29,-0.38,-0.16,-1.2,0.3,-0.27
"99",2016-03-31,0.36,-0.04,1.16,0.16,0.03
"100",2016-04-30,-0.07,0.07,-0.16,-0.14,0.04
"101",2016-05-31,-0.31,0.11,-1.18,-0.04,-0.5
"102",2016-06-30,0.51,0.15,1.26,0.06,1.12
"103",2016-07-31,-0.1,0.05,-0.16,-0.02,-0.51
"104",2016-08-31,0.06,-0.01,-0.37,0.11,0.85
"105",2016-09-30,-0.02,-0.03,0.56,-0.02,-1.03
"106",2016-10-31,0,0.02,0.03,-0.03,-0.2
"107",2016-11-30,-0.14,0.13,-1.18,0.07,0.54
"108",2016-12-31,0.71,0,1.1,0.09,1.86
"109",2017-01-31,-0.47,-0.02,0.37,-0.54,-2.46
"110",2017-02-28,-0.21,0.09,-1.03,0.18,0.45
"111",2017-03-31,0.27,-0.05,0.97,0.25,-0.28
"112",2017-04-30,-0.17,-0.1,-0.27,-0.16,-0.11
"113",2017-05-31,-0.06,0.02,-0.52,0.12,0.58
"114",2017-06-30,0.19,-0.04,0.66,0.06,0.06
"115",2017-07-31,-0.03,-0.08,-0.1,0.02,0.17
"116",2017-08-31,-0.01,0.08,-0.47,0.09,0.39
"117",2017-09-30,0.1,0.09,0.73,-0.09,-1.04
"118",2017-10-31,-0.04,0.05,-0.21,0.05,0.12
"119",2017-11-30,-0.15,0.09,-0.72,0.05,-0.17
"120",2017-12-31,0.39,0.11,0.88,0.05,1
"121",2018-01-31,-0.25,0.04,-0.23,-0.4,-1.58
"122",2018-02-28,-0.06,-0.05,-0.4,0.18,0.74
"123",2018-03-31,0.23,-0.1,0.85,0.13,-0.3
"124",2018-04-30,-0.06,0.1,-0.35,-0.01,0.43
"125",2018-05-31,-0.05,0.08,-0.29,0.09,-0.29
"126",2018-06-30,0.21,0.1,0.43,-0.03,0.63
"127",2018-07-31,0.09,-0.01,0.1,0.04,0.46
"128",2018-08-31,-0.08,0.09,-0.66,0.06,0.16
"129",2018-09-30,0.02,-0.02,0.67,-0.08,-1.03
"130",2018-10-31,0.03,0.14,-0.16,0.11,-0.13
"131",2018-11-30,-0.09,0.04,-0.55,-0.02,0.11
"132",2018-12-31,0.19,-0.14,0.7,0.09,0.86
"133",2019-01-31,-0.3,-0.21,-0.17,-0.37,-1.03
"134",2019-02-28,-0.09,0.01,-0.63,0.18,0.41
"135",2019-03-31,0.25,-0.09,1.04,0.07,-0.4
"136",2019-04-30,0.01,0.15,-0.24,0.07,0.44
"137",2019-05-31,-0.16,-0.04,-0.48,-0.05,0.01
"138",2019-06-30,0.11,0.01,0.53,-0.06,-0.49
"139",2019-07-31,0.13,-0.06,0.04,0.15,1.18
"140",2019-08-31,-0.07,-0.06,-0.52,-0.02,0.43
"141",2019-09-30,0,-0.04,0.67,-0.06,-1.21
"142",2019-10-31,-0.08,0.11,-0.39,0.14,-0.11
"143",2019-11-30,-0.19,-0.13,-0.57,-0.06,0.26
"144",2019-12-31,0.47,0.11,1.07,0.13,0.67
"145",2020-01-31,-0.33,-0.07,-0.49,-0.52,-0.36
"146",2020-02-29,-0.21,-0.01,-0.63,0.14,-0.48
"147",2020-03-31,0.42,-0.08,1.17,0.26,0.15
"148",2020-04-30,0.17,-0.26,-0.7,-0.16,1.97
"149",2020-05-31,-0.94,-0.71,-0.19,-0.1,-2.78
"150",2020-06-30,0.3,0.05,0.52,0.1,0.39
"151",2020-07-31,0.09,0.42,-0.1,0.11,0.12
"152",2020-08-31,-0.01,0.17,-0.52,-0.02,0.8
"153",2020-09-30,0.17,0.1,0.61,0.14,-0.66
"154",2020-10-31,0.23,0.06,0.05,0.06,1.23
"155",2020-11-30,-0.33,-0.04,-0.6,0.02,-0.8
"156",2020-12-31,0.46,0,0.83,0.16,0.88
"157",2021-01-31,-0.38,0.08,-0.24,-0.59,-1.23
"158",2021-02-28,-0.18,0.1,-0.54,0.28,-2
"159",2021-03-31,0.71,0.07,0.95,0.27,3.43
"160",2021-04-30,-0.15,0.43,-0.28,0,-1.29
"161",2021-05-31,-0.18,-0.37,-0.45,-0.12,0.87
"162",2021-06-30,0.06,0.05,0.52,0.07,-1.01
"163",2021-07-31,0.2,0.43,0,0.01,0.46
"164",2021-08-31,-0.15,-0.36,-0.53,-0.09,0.85
"165",2021-09-30,0.08,0.03,0.64,0.23,-1.01
"166",2021-10-31,0.12,0.43,-0.41,-0.07,0.73
"167",2021-11-30,-0.22,-0.22,-0.1,-0.03,-0.74
"168",2021-12-31,0.35,-0.01,0.71,0.16,0.84
"169",2022-01-31,-0.31,-0.1,-0.2,-0.33,-1.53
"170",2022-02-28,0.01,0.2,-0.7,0.18,1.13
"171",2022-03-31,0.33,0.22,1.06,-0.01,-0.89
"172",2022-04-30,-0.03,0.41,-0.73,-0.48,0.57
"173",2022-05-31,-0.36,-0.73,0.2,-0.18,-0.01
"174",2022-06-30,-0.02,-0.19,0.32,0.01,-1.24
"175",2022-07-31,-0.12,0.08,-0.66,0.04,1.4
"176",2022-08-31,0.04,-0.15,0.24,0.2,-0.03
"177",2022-09-30,0.15,0.03,0.48,0.03,-0.66
"178",2022-10-31,0.12,0.62,-0.34,0.03,-0.39
"179",2022-11-30,0.1,-0.39,-0.03,0.12,2.15
"180",2022-12-31,0.14,0.07,0.45,0.2,-0.22
"181",2023-01-31,-0.81,-0.78,-0.93,-0.16,-1.45
"182",2023-02-28,0.29,0.2,0.65,0,-0.44
"183",2023-03-31,0.33,0.28,0.29,0.26,1.01
"184",2023-04-30,-0.18,-0.06,-0.42,-0.08,0.19
"185",2023-05-31,-0.04,-0.13,0.04,0.13,-0.34
"186",2023-06-30,0.23,-0.08,0.33,-0.01,0.85
"187",2023-07-31,-0.18,0.43,-0.51,0.02,-0.88
"188",2023-08-31,0.14,-0.23,0.21,0.18,0.8
"189",2023-09-30,0.11,0.14,0.39,-0.13,-0.33
"190",2023-10-31,0.21,0.79,-0.58,0.04,0.54
"191",2023-11-30,-0.17,-0.48,0.15,-0.02,0.01
"192",2023-12-31,0.1,-0.53,0.51,0.01,0.33
"193",2024-01-31,-0.28,0.12,-0.5,-0.16,-0.42
"194",2024-02-29,0.09,0.34,0.14,0.06,-0.43
"195",2024-03-31,0.34,0.32,0.57,-0.03,0.14
"196",2024-04-30,-0.22,-0.06,-0.47,-0.03,-0.14
"197",2024-05-31,-0.13,-0.44,-0.29,0.2,0.5
"198",2024-06-30,0.07,-0.06,0.56,-0.15,-0.53
